
264,CO_HistogramAMI_even_5bin_ami5,CO_HistogramAMI_even_5bin,"information,correlation,AMI",CO_HistogramAMI_even_5bin.ami5
265,CO_HistogramAMI_even_10bin_ami1,CO_HistogramAMI_even_10bin,"information,correlation,AMI",CO_HistogramAMI_even_10bin.ami1
266,CO_HistogramAMI_even_10bin_ami2,CO_HistogramAMI_even_10bin,"information,correlation,AMI",CO_HistogramAMI_even_10bin.ami2
267,CO_HistogramAMI_even_10bin_ami3,CO_HistogramAMI_even_10bin,"information,correlation,AMI",CO_HistogramAMI_even_10bin.ami3
268,CO_HistogramAMI_even_10bin_ami4,CO_HistogramAMI_even_10bin,"information,correlation,AMI",CO_HistogramAMI_even_10bin.ami4
269,CO_HistogramAMI_even_10bin_ami5,CO_HistogramAMI_even_10bin,"information,correlation,AMI",CO_HistogramAMI_even_10bin.ami5
270,CO_HistogramAMI_quantiles_2bin_ami1,CO_HistogramAMI_quantiles_2bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_2bin.ami1
271,CO_HistogramAMI_quantiles_2bin_ami2,CO_HistogramAMI_quantiles_2bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_2bin.ami2
272,CO_HistogramAMI_quantiles_2bin_ami3,CO_HistogramAMI_quantiles_2bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_2bin.ami3
273,CO_HistogramAMI_quantiles_2bin_ami4,CO_HistogramAMI_quantiles_2bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_2bin.ami4
274,CO_HistogramAMI_quantiles_2bin_ami5,CO_HistogramAMI_quantiles_2bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_2bin.ami5
275,CO_HistogramAMI_quantiles_5bin_ami1,CO_HistogramAMI_quantiles_5bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_5bin.ami1
276,CO_HistogramAMI_quantiles_5bin_ami2,CO_HistogramAMI_quantiles_5bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_5bin.ami2
277,CO_HistogramAMI_quantiles_5bin_ami3,CO_HistogramAMI_quantiles_5bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_5bin.ami3
278,CO_HistogramAMI_quantiles_5bin_ami4,CO_HistogramAMI_quantiles_5bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_5bin.ami4
279,CO_HistogramAMI_quantiles_5bin_ami5,CO_HistogramAMI_quantiles_5bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_5bin.ami5
280,CO_HistogramAMI_quantiles_10bin_ami1,CO_HistogramAMI_quantiles_10bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_10bin.ami1
281,CO_HistogramAMI_quantiles_10bin_ami2,CO_HistogramAMI_quantiles_10bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_10bin.ami2
282,CO_HistogramAMI_quantiles_10bin_ami3,CO_HistogramAMI_quantiles_10bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_10bin.ami3
283,CO_HistogramAMI_quantiles_10bin_ami4,CO_HistogramAMI_quantiles_10bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_10bin.ami4
284,CO_HistogramAMI_quantiles_10bin_ami5,CO_HistogramAMI_quantiles_10bin,"information,correlation,AMI",CO_HistogramAMI_quantiles_10bin.ami5
285,IN_AutoMutualInfoStats_40_gaussian_ami1,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami1
286,IN_AutoMutualInfoStats_40_gaussian_ami2,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami2
287,IN_AutoMutualInfoStats_40_gaussian_ami3,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami3
288,IN_AutoMutualInfoStats_40_gaussian_ami4,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami4
289,IN_AutoMutualInfoStats_40_gaussian_ami5,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami5
290,IN_AutoMutualInfoStats_40_gaussian_ami6,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami6
291,IN_AutoMutualInfoStats_40_gaussian_ami7,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami7
292,IN_AutoMutualInfoStats_40_gaussian_ami8,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami8
293,IN_AutoMutualInfoStats_40_gaussian_ami9,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami9
294,IN_AutoMutualInfoStats_40_gaussian_ami10,IN_AutoMutualInfoStats_40_gaussian,"information,correlation,AMI",IN_AutoMutualInfoStats_40_gaussian.ami10
